Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS0-4521	1986329	REG0-14904 // REG0-5490	PM0-46480 // PM00139	CPLX-172
BS0-5884	2668940	REG0-6099 // REG0-6098	PM0-7542 // PM0-7541	MONOMER0-2081 // G7331-MONOMER
BS0-10	1298333	REG0-14881 // REG0-4960 // REG0-4894	PM0-46478 // PM646 // PM00279	PHOSPHO-NARL
BS00404	2240625.5	REG0-15134 // REG0-5390	PM0-46558 // PM00231	PD00261
BS0-8762	4133813	REG0-12898	PM00043	PD00214
BS0-8045	3301286.5	REG0-11046	PM0-10131	PD01379
BS0-8510	2924707	REG0-12393	PM0-5001	MONOMER0-1
BS0-1901	1908825	REG0-6376	PM171	PHOSPHO-PHOP
BS0-8906	3172991	REG0-13260	TU0-13836	G7072-MONOMER
BS0-7200		REG0-6599	PM0-9097	CPLX0-7797
BS0-10770		REG0-16325	PM0-1350	MONOMER0-46
BS0-8008	1572111.5	REG0-15055 // REG0-10953	PM0-46530 // PM450	EG12243-MONOMER
BS0-7218	403621.5	REG0-6613	PM0-9308	PD01379
BS0-10741	1673716.5	REG0-16234	TU0-13343	CPLX0-8952
BS0-7332	903798.5	REG0-6054	PM0-8541	PC00005
BS00134	4132565.5d0	REG0-4509	PM00054	CPLX0-7796
BS0-7153	3267198.5d0	REG0-5696	PM00168	CPLX0-7797
BS0-6994		REG0-6564	PM0-8715	PD04418
BS00216	3100792.5	REG0-5555	PM00103	CPLX0-7797
BS00321	2240607.5	REG0-15137 // REG0-5387	PM0-46558 // PM00231	CPLX0-226
BS00438	932376	REG0-5239	PM00252	PD00353
BS0-3144	866571	REG0-5345	PM0-4427	PHOSPHO-NARL
BS0-7513	1638895	REG0-9351	PM0-7321	CPLX0-7705
BS0-6483		REG0-6365	PM0-2441	PD00288
BS0-2185	454386.5	REG0-15290 // REG0-4879	PM0-46587 // PM00527	PHOSPHO-OMPR
BS0-2746	4287513.5	REG0-15089 // REG0-6287	PM0-46541 // PM0-3923	CPLX0-226
BS0-7748	2001813	REG0-10464	PM00563	CPLX0-7756
BS0-4128	4494493.5d0	REG0-6244 // REG0-6238	PM0-4922 // PM0-4921	PD03585
BS0-7601	1298419	REG0-14877 // REG0-9547	PM0-46478 // PM00279	PD00353
BS0-2961	4128595.5d0	REG0-6294	PM00490	CPLX0-7796
BS0-6321	833045.5d0	REG0-6158	PM0-6601	PC00010
BS00183	1737879.5	REG0-5644	PM00081	CPLX-123
BS0-10855		REG0-16423	TU0-198707	CPLX0-7639
BS0-7288	997531	REG0-6008	PM169	PC00027
BS0-7712	636622.5	REG0-10392	PM0-10368	PHOSPHO-ARCA
BS0-8271	4554550.5	REG0-11539	PM0-5285	EG20249-MONOMER
BS00660	2405245	REG0-5636	PM00592	PC00027
BS00076	4058293.5	REG0-4667	PM00034	CPLX0-226
BS0-8165	2344473.5	REG0-11325	PM00063	CPLX0-7669
BS0-8555	1313864.5	REG0-12544	PM0-9249	CPLX0-7797
BS0-8489	1978385	REG0-12297	PM00184	G7947-MONOMER
BS0-5061	792075.5	REG0-14870 // REG0-4656	PM0-46476 // PM00032	CPLX0-2021
BS269	3730848.5d0	REG0-5042	PM68	MONOMER0-165
BS0-5341	1230472	REG0-8983 // REG0-4962	PM681	PD00288
BS663	4542770	REG0-5130	PM241	PC00027
BS00035	29610.5	REG0-4795	PM00017	CPLX0-228
BS-7087	1103386.5	REG0-15174 // REG0-5350	PM0-46559 // PM00536	CPLX0-226
BS0-8938	1655231.5	REG0-13303	PM0-46594	CPLX0-226
BS0-7930	3231627	REG0-10823	PM0-36147	PD01520
BS0-8879	1053215	REG0-13222	TU0-13111	G7072-MONOMER
BS0-1502	2601041	REG0-4853	PM787	MONOMER0-183
BS0-10442	3499794.5	REG0-15769	PM0-45743	CPLX0-226
BS586	3883939	REG0-4910 // REG0-4909	PM00465 // PM00466	MONOMER0-160
BS0-8155	246526.5	REG0-11295	PM0-10350	CPLX0-7787
BS0-7457	451830	REG0-9230	PM00142	EG11088-MONOMER
BS0-8858	3725803	REG0-13178	TU0-8590	G7072-MONOMER
BS0-2571	223304	REG0-15228 // REG0-6468	PM0-46572 // PM0-1349	CPLX0-7705
BS0-3744	3906749	REG0-6252	PM0-5042	CPLX0-7705
BS00002	2147600.5	REG0-15118 // REG0-4758	PM0-46543 // PM00002	PD00230
BS0-8013	3656844.5	REG0-15269 // REG0-15100 // REG0-15098 // REG0-10988 // REG0-6202 // REG0-10958	PM0-46582 // PM0-46542 // PM928 // PM0-5143	EG12243-MONOMER
BS0-1642	3128183	REG0-6035	PM166	PC00027
BS00456	1619075	REG0-5926	PM00265	CPLX0-7710
BS0-8088	2265372.5	REG0-11103 // REG0-11099	PM0-36245 // PM0-36246	CPLX0-226
BS0-7698	4392748	REG0-10327	PM0-10354	MONOMER0-160
BS0-5722	2352118.5	REG0-4701	PM00039	PD03576
BS0-7371	2185904	REG0-8961	PM0-9620	CPLX0-7639
BS0-7213	1592567.5	REG0-6581	PM0-8864	CPLX0-7425
BS0-2548	2800595	REG0-6489 // REG0-6342	PM0-1182 // PM0-3603	CPLX0-7639
BS0-6972	1735386.5	REG0-6428	PM00372	CPLX0-226
BS0-7958	3216557	REG0-10885	PM0-36183	CPLX0-7639
BS00239	3792643.5d0	REG0-5455	PM00115	PD00353
BS161	4341786.5	REG0-5704 // REG0-4496	PM00175 // PM00050	MONOMER0-161
BS0-7275	1081252.5	REG0-4613	PM0-9399	CPLX0-7748
BS00665	3105610.5	REG0-5693	PM00173	CPLX0-226
BS0-2084	2405236	REG0-5633	PM00592	PC00027
BS0-8940	346367.5	REG0-13305	TU0-8548	CPLX0-226
BS0-6502	578954	REG0-6088	PM0-8163	PHOSPHO-PHOP
BS0-8890	2010196	REG0-13235	TU0-13457	G7072-MONOMER
BS0-8043	1592539.5	REG0-11036	PM0-8864	EG10442-MONOMER
BS0-7655	2243799.5	REG0-9987	PM0-10286	CPLX0-7796
BS0-7233	957509	REG0-4829	PM921	CPLX0-226
BS00499	4100718.5	REG0-5518	PM00089	PD04418
BS0-8378		REG0-11892	PM0-5023	PD00288
BS00780	1287743	REG0-5623	PM00666	CPLX0-7705
BS0-8268	3418876	REG0-11536	PM0-3822	PROTEIN-NRIP
BS0-861	612659	REG0-6530 // REG0-5843	PM00343 // PM00225	CPLX0-7639
BS00674	1031917	REG0-14861 // REG0-5323	PM0-46472 // PM00598	PHOSPHO-ARCA
BS00317	3267136.5d0	REG0-5697	PM00168	CPLX0-226
BS0-8780	813125	REG0-12967	PM00351	MONOMER0-160
BS0-8483		REG0-12291	TU0-13439	EG12860-MONOMER
BS0-8135	2587422.5	REG0-11251	PM0-10482	CPLX0-7748
BS0-7482	4518286	REG0-9281	PM00207	CPLX0-7639
BS0-8367	4207647.5	REG0-11819	PM00078	PD03867
BS0-8736	2002005.5	REG0-12843	PM00563	PC00027
BS0-10632	1544233.5	REG0-16092	TU0-194009	PHOSPHO-OMPR
BS0-8665	3172462	REG0-12703	TU0-13835	PD04418
BS0-7541	4442265	REG0-9380	PM321	CPLX0-7705
BS00213	2310485.5	REG0-15125 // REG0-5549	PM0-46549 // PM00101	PD00230
BS0-5081	3558159	REG0-5151	PM333	PC00027
BS00757	2533552.5	REG0-5274 // REG0-5223	PM00635 // PM00410	PC00061
BS0-7530	3128116	REG0-9368	PM167	CPLX0-7705
BS0-7021		REG0-6566	PM0-8727	CPLX0-7797
BS00739	3592408	REG0-5227	PM00448	PHOSPHO-PHOB
BS-7080	3656830	REG0-15115 // REG0-4836	PM0-46542 // PM928	PD00365
BS00107	4257078	REG0-4725	PM00046	PC00010
BS00686	1978377.5	REG0-5590	PM00184	PHOSPHO-OMPR
BS00405		REG0-5741	PM00232	PD00338
BS0-8493	208288	REG0-12321	PM0-46356	PD01520
BS0-7706	2494508.5	REG0-10338	PM0-9856	PHOSPHO-EVGA
BS00646	1699296.5	REG0-5603	PM00177	PD00361
BS0-6932	4058175	REG0-5932 // REG0-4669	PM00312 // PM00034	PROTEIN-NRIP
BS803		REG0-5417	PM981	PC00027
BS00721	1901840.5	REG0-5729	PM00276	CPLX0-226
BS0-7994		REG0-10926	PM0-9849	PD00288
BS00666	3105574.5	REG0-5694	PM00173	CPLX0-7740
BS0-7912	4299511.5	REG0-10804	PM00208	MONOMER0-183
BS0-8044	1592567.5	REG0-11037	PM0-8864	EG10442-MONOMER
BS0-8157	3059713.5	REG0-11317	PM0-1501	CPLX0-7671
BS0-5522	4539939.5	REG0-9078 // REG0-6131	PM00560 // PM0-7183	CPLX0-8593
BS00207	4632703.5	REG0-5539	PM00095	CPLX-125
BS0-7131		REG0-6019	PM00525	BCCP-CPLX
BS0-8277	4591499.5	REG0-11572	PM0-46197	CPLX0-226
BS0-8781	813441.5	REG0-5547 // REG0-12968	PM00099 // PM0-10330	PC00010
BS0-7639	607649.5	REG0-9619	PM0-10246	PC00010
BS-7103	2716563.5	REG0-6517	PM0-1303	CPLX0-226
BS0-7853	710869	REG0-10678	PM0-1441	PD00214
BS0-8886	1755147	REG0-13230	TU0-13365	G7072-MONOMER
BS0-1645	3128252	REG0-6036 // REG0-6030	PM166 // PM167	MONOMER0-562
BS0-3661	4462902.5	REG0-6249	PM0-5023	CPLX0-7797
BS0-8840	234223	REG0-13159	TU0-12841	G7072-MONOMER
BS0-7370	2185852.5	REG0-10468 // REG0-8960	PM0-9621 // PM0-9620	G7137-MONOMER
BS0-3467	1166059	REG0-5790	PM00218	PHOSPHO-ARCA
BS0-7449	1880033	REG0-9166	PM0-9688	PHOSPHO-NARL
BS564	1230527.5d0	REG0-4965	PM681	CPLX0-7797
BS268	2525029	REG0-15010 // REG0-5106	PM0-46524 // PM501	CPLX0-7681
BS0-7592	3777192	REG0-9480 // REG0-9479	PM224	EG11962-MONOMER // CPLX0-7689
BS124	42198.5	REG0-5163	PM339	CPLX0-226
BS0-8599		REG0-12607	TU0-13868	G7619-MONOMER
BS0-10660	2473466	REG0-16128 // REG0-16124	TU0-13604 // TU0-13603	G7518-MONOMER
BS00385	4368472.5	REG0-5810	PM00220	CPLX0-7797
BS0-7251	1330950	REG0-5090	PM00547	CPLX0-7705
BS0-38	931075	REG0-6031	PM961	PHOSPHO-ARCA
BS0-6461	1636602	REG0-6084	PM0-8061	CPLX0-7639
BS0-8494	3405123	REG0-12322	PM0-46357	PD01520
BS0-8220	84245.5	REG0-11472	PM0-46179	CPLX0-7916
BS342	2312829	REG0-5316 // REG0-5000 // REG0-4578	PM00630 // PM00631 // PM00065	PD00353
BS0-3488	3777271	REG0-5128	PM224	PHOSPHO-ARCA
BS68	4287649	REG0-5963	PM00280	PHOSPHO-NARL
BS0-7690	1078946.5	REG0-10266	PM206	PUTA-MONOMER
BS0-10868	1610734	REG0-16437	PM0-36188	CPLX0-7639
BS0-1621	2791128	REG0-15082 // REG0-6406	PM0-46538 // PM0-2101	G7072-MONOMER
BS0-6937	4330284.5d0	REG0-5333	PM00611	CPLX0-226
BS0-7167	176533	REG0-6544	PM0-8916	G7326-MONOMER
BS0-7489	29395	REG0-9307	PM00151	CPLX0-7705
BS0-8821	1627415	REG0-13139	TU0-8783	G7072-MONOMER
BS0-7652	2243823.5	REG0-9984	PM0-10286	CPLX0-7796
BS0-8507	70203.5	REG0-12387	PM00004	MONOMER0-165
BS0-7553	3730987	REG0-9392	PM70	CPLX0-7705
BS0-2042	3880212	REG0-14955 // REG0-6346	PM0-46506 // PM00457	CPLX0-7705
BS0-7796	4016304	REG0-10529	PM00179	CPLX0-7740
BS00228	2461213	REG0-4472	PM00110	PD01520
BS0-8896	2489124	REG0-13250	TU0-13608	G7072-MONOMER
BS00710	3050933	REG0-5745	PM00233	PD00353
BS0-8289	1688487	REG0-11588 // REG0-11585	PM00371 // PM00146	CPLX0-226
BS0-1001	180622	REG0-4882	PM00327	CPLX0-7748
BS00788	3708770	REG0-5656	PM00674	CPLX0-7705
BS0-8154	657103.5	REG0-11294	PM0-9886	CPLX0-7787
BS00302	2323273.5	REG0-5886	PM00155	PHOSPHO-ATOC
BS0-8998	121846	REG0-14982 // REG0-13461	PM0-46520 // PM00324	MONOMER0-4276
BS0-8141		REG0-11257	PM179	CPLX0-7669
BS0-1683	4240247	REG0-5420	PM0-2201	PHOSPHO-PHOB
BS0-7961	77034.5	REG0-14916 // REG0-10888	PM0-46489 // PM0-9591	PC00061
BS0-4661	3737408.5	REG0-5593	PM00185	MONOMER0-158
BS0-8857	1979640	REG0-13177	TU0-8535	G7072-MONOMER
BS842	424927	REG0-6018	PM00336	CPLX0-7705
BS0-5444	3278790.5	REG0-5890	PM0-6881	G7630-MONOMER
BS0-3728	1157768	REG0-9016 // REG0-6515 // REG0-6500	PM0-1301 // PM0-1302	CPLX0-7705
BS0-3808		REG0-5238	PM00252	EG11544-MONOMER
BS0-4462	3658281.5	REG0-6174	PM0-5982	EG11544-MONOMER
BS0-5921	817028	REG0-6497	PM0-1283	CPLX0-7708
BS0-8846	4609408	REG0-13165	TU0-14217	G7072-MONOMER
BS0-3354	4058162.5	REG0-5938	PM00312	CPLX0-226
BS0-6522	1719744	REG0-6091 // REG0-6090	PM0-8183 // PM0-8182	PHOSPHO-PHOP
BS0-7266	1825738	REG0-6557	PM-8764	CPLX0-7748
BS0-10773		REG0-16328	PM0-1351	MONOMER0-46
BS0-7848	890842	REG0-10671 // REG0-10670	PM0-2281 // PM821	PD00214
BS0-8741	4270174	REG0-12870	PM0-10180	EG11544-MONOMER
BS0-8797		REG0-13109	PM00622	CPLX0-8285
BS0-8362		REG0-11810	TU0-14155	CPLX0-7748
BS00064	4382457.5	REG0-15007 // REG0-4639	PM0-46523 // PM00030	CPLX0-7797
BS142	754821	REG0-5856	PM00143	PHOSPHO-ARCA
BS0-7448	1880042	REG0-9165	PM0-9688	PHOSPHO-NARP
BS0-7663	3088076.5	REG0-10087	PM0-7421	MONOMER-53
BS0-7245	1822314	REG0-15287 // REG0-5297	PM0-46586 // PM00543	CPLX0-7705
BS0-8354	1880806.5	REG0-11753	PM0-46264	MONOMER0-155
BS00691	4466270.5	REG0-5982	PM00299	CPLX0-226
BS00209	1386640.5	REG0-5541	PM00097	PD00413
BS0-2441	1735262	REG0-6430	PM00372	PC00027
BS00333		REG0-5579	PM00180	CPLX0-226
BS0-7790	2698508	REG0-10515	PM0-10445	CPLX0-7756
BS00206	1323119.5	REG0-5538	PM00094	CPLX-125
BS0-7031	4368544	REG0-5811	PM00220	PHOSPHO-NARL
BS00768	3756693	REG0-5908	PM00187	CPLX0-7705
BS00624	3192052.5	REG0-5264	PM00567	CPLX0-226
BS00662	432164.5	REG0-8990 // REG0-5913	PM00337	CPLX0-226
BS0-8683	3246491	REG0-12727	PM0-46365	CPLX0-226
BS0-7368	2185872.5	REG0-10467 // REG0-8959	PM0-9621 // PM0-9620	G7137-MONOMER
BS0-8266	1563195	REG0-11534	PM0-3823	PROTEIN-NRIP
BS0-7863	1572136.5	REG0-15057 // REG0-10701	PM0-46530 // PM450	PHOSPHO-RCSB
BS0-8551	3720007	REG0-12541	PM00452	CPLX0-7705
BS0-8305	1020914.5	REG0-11627	PM00092	CPLX0-8597
BS0-7781	2002026	REG0-10506 // REG0-10505	PM00626 // PM00563	CPLX0-7756
BS0-8201	3050838	REG0-11431	PM00233	PD00339
BS0-7025		REG0-6007	PM169	CPLX0-7797
BS0-8310	794710.5	REG0-11632	PM0-46235	PD00406
BS0-8006	848967.5	REG0-14935 // REG0-10949	PM0-46500 // PM00243	CPLX0-7672
BS482	3562425.5d0	REG0-4687	PM00038	PD03576
BS00700	3492459.5	REG0-5343 // REG0-5341 // REG0-5337	PM00621 // PM00620 // PM00619	CPLX0-7740
BS544	1165920	REG0-5789	PM00218	CPLX0-7705
BS0-8804		REG0-13121	PM932	CPLX0-8597
BS0-8977	1509244.5	REG0-13421	PM0-46449	G6749-MONOMER
BS0-4061	1323111.5	REG0-5537	PM00094	CPLX-125
BS0-7002	1103396	REG0-15169 // REG0-5356	PM0-46559 // PM00536	CPLX0-7748
BS00327	3847301.5	REG0-5901	PM00174	CPLX0-226
BS0-8738	1842248.5	REG0-12854	PM00379	CPLX0-7669
BS0-7946	3337003.5	REG0-10855	PM0-36160	EG12008-MONOMER
BS43	1488185	REG0-6002	PM324	PHOSPHO-ARCA
BS00761	2023711	REG0-5674	PM00636	PC00084
BS0-4361	2832328	REG0-6586 // REG0-6264	PM0-9342 // PM0-4681	EG12108-MONOMER
BS00030	406335.5d0	REG0-4794	PM00013	CPLX-125
BS00641	3600903.5	REG0-5660 // REG0-5515 // REG0-5453	PM00571 // PM00088 // PM00114	CPLX0-7740
BS0-4503	70213	REG0-4771 // REG0-4762	PM00004 // PM00003	CPLX-172
BS0-3807		REG0-6413	PM0-1681	EG11544-MONOMER
BS00554	4097545	REG0-5987	PM00303	CPLX-124
BS0-8035		REG0-11028	PM00622	PD00353
BS0-7670	3656917.5	REG0-15105 // REG0-15104 // REG0-10131 // REG0-10130	PM0-46542 // PM928	EG12243-MONOMER
BS00217	2982273	REG0-5556	PM00104	CPLX-172
BS0-7926		REG0-10818	PM0-46012	CPLX0-7852
BS00234	85544	REG0-11403 // REG0-4486	PM00323 // PM00111	PD00353
BS0-10848		REG0-16416 // REG0-16415	TU0-198705	PD00260
BS0-6881	1547272	REG0-5787	PM00217	PHOSPHO-NARP
BS0-7157	4133699.5d0	REG0-4710	PM00043	CPLX0-7797
BS00470	1901936	REG0-5730	PM00276	PD00266
BS0-3781	3667669.5	REG0-15218 // REG0-5004	PM0-46571 // PM461	CPLX0-7852
BS0-1261	103517.5	REG0-6442	PM0-1582	PHOSPHO-RCSB
BS57	2850795.5	REG0-5095	PM00574	CPLX0-7797
BS0-8927	311576	REG0-13286	TU0-8631	G7072-MONOMER
BS522	1388866	REG0-5153	PM334	PHOSPHO-ARCA
BS0-2549	787627	REG0-15128 // REG0-6339	PM0-46553 // PM0-3582	CPLX0-7639
BS0-7950	1934789	REG0-10859	PM00313	G7003-MONOMER
BS0-7797	2231736.5	REG0-10530	PM1001	CPLX0-7740
BS00576	954530	REG0-5196 // REG0-5192	PM00354 // PM00353	PHOSPHO-NARL
BS00741	3592452.5	REG0-5228	PM00449	CPLX0-226
BS0-6682	3731090	REG0-5048	PM70	CPLX0-7705
BS00560	1934806.5	REG0-6050	PM00313	PD03585
BS0-7827	1988605	REG0-10603	PM0-10490	CPLX0-7639
BS0-7630	3927116.5	REG0-5969 // REG0-9600	PM00154 // PM00153	CPLX0-7733
BS0-8633	1453790.5	REG0-12664	PM5	CPLX0-8563
BS0-7987		REG0-14888 // REG0-10919	PM0-46479 // PM00254	EG11449-MONOMER
BS0-1902	1190516.0d0	REG0-5092 // REG0-5039	PM66 // PM67	PHOSPHO-PHOP
BS0-8412	2913825	REG0-12002	PM00427	CPLX0-7425
BS0-2222		REG0-15191 // REG0-4601	PM0-46569 // PM00067	CPLX0-226
BS0-2504	1832165.5	REG0-6482	PM0-1163	CPLX0-228
BS0-8407	3860201.5	REG0-11985	PM0-46307	CPLX0-7916
BS0-8392	4503635.5	REG0-11923	PM0-46064	CPLX0-8593
BS0-1661	3410183	REG0-9007 // REG0-4628	PM00028	CPLX0-226
BS0-8048	2013060.5	REG0-11053 // REG0-11050 // REG0-11049	PM0-8720 // PM-8794 // PM-8797	PD01379
BS0-1063	1157760	REG0-6510	PM0-1301	PD01896
BS0-1141	2062053	REG0-5067	PM65	G7072-MONOMER
BS00372	2850559	REG0-5776	PM00209	MONOMER0-183
BS0-7355	3777298	REG0-8950	PM224	PHOSPHO-ARCA
BS0-8479	914950.5	REG0-12228	PM0-46346	CPLX0-228
BS0-4943	1488053	REG0-5998	PM324	PHOSPHO-ARCA
BS0-6844	1995535.5	REG0-6137	PM00389	PC00010
BS0-7431	2976576.5	REG0-9091	PM0-1041	MONOMER-52
BS-7108	3493690.5d0	REG0-4544	PM00062	CPLX0-226
BS00656	2430828.5	REG0-5309	PM00629	CPLX-123
BS-7097	1619040.5	REG0-5920	PM00265	CPLX0-226
BS0-8963	3154852	REG0-13352	TU0-8657	EG12386-MONOMER
BS0-8170		REG0-11351	PM0-36235	G6569-MONOMER
BS0-10743	557981	REG0-16236	TU0-198696	EG11103-MONOMER
BS00195	4097671	REG0-14948 // REG0-5510	PM0-46502 // PM00087	MONOMER-47
BS00487	1262225.5	REG0-5944	PM00287	CPLX-123
BS0-2862	1556554.5	REG0-5611	PM00544	PHOSPHO-RCSB
BS00510	4114555.5	REG0-5172	PM00262	PD00406
BS827	2255097	REG0-6026	PM1021	PC00027
BS0-7444	903819.5	REG0-9161	PM0-8541	PC00005
BS0-2661	2428039	REG0-6314	PM0-3781	CPLX0-8566
BS0-7253	1330999	REG0-5088	PM00547	CPLX0-7705
BS00729	4100735	REG0-5528	PM00089	PC00027
BS0-7889	1335729.5	REG0-10756	PM262	PD04418
BS0-8238		REG0-14942 // REG0-11494	PM0-46501 // PM0-9649	EG11356-MONOMER
BS0-8434	3485907.5	REG0-12094	PM00161	PC00061
BS0-8113	1103907.5	REG0-15146 // REG0-11214	PM0-46559 // PM00536	PC00061
BS0-8245		REG0-11502	PM0-1681	G6165-MONOMER
BS0-7826	1988599	REG0-10602	PM0-10490	CPLX0-7639
BS0-7923	1103387	REG0-15156 // REG0-10815	PM0-46559 // PM00536	CPLX0-7748
BS0-2570	223351	REG0-15227 // REG0-6469	PM0-46572 // PM0-1349	CPLX0-7705
BS0-7506	2716640	REG0-9335	PM0-1303	CPLX0-7705
BS0-8543	3719763	REG0-12537	PM00452	CPLX0-7705
BS0-6501	3348393	REG0-6087	PM0-8161	PHOSPHO-PHOP
BS0-8961	3225810	REG0-13350	TU0-13851	EG12386-MONOMER
BS00388	2263590.5	REG0-5412	PM00221	PC00061
BS111	1279718	REG0-4520	PM00060	PHOSPHO-NARL
BS0-2061	2071340	REG0-6351	PM0-2881	PD00214
BS0-7192		REG0-5032	PM582	CPLX0-7797
BS0-5523	4539922.5	REG0-9079 // REG0-6130	PM00560 // PM0-7183	CPLX0-8593
BS00021	3384669.5d0	REG0-4782	PM00009	CPLX0-228
BS0-5482	3373631.5	REG0-6422	PM0-1781	CPLX0-8593
BS0-7170	1791298	REG0-6537	PM0-8918	G7326-MONOMER
BS0-10443	3499846.5	REG0-15772	PM0-45743	CPLX0-8576
BS0-7615	485714	REG0-9577	PM624	CPLX0-7418
BS0-4941	1488191	REG0-6000	PM324	PHOSPHO-ARCA
BS0-8521		REG0-12513	TU0-41739	G6664-MONOMER
BS0-1802		REG0-6370	PM0-2522	MONOMER0-155
BS0-1066	2716616.5	REG0-6522	PM0-1303	CPLX0-7797
BS0-8057	3840093.5	REG0-11063	PM0-9416	PD01379
BS00322	1986280.5	REG0-14902 // REG0-5492	PM0-46480 // PM00139	CPLX0-226
BS0-2428	2312964.5	REG0-14830 // REG0-5212	PM0-46465 // PM00401	PD00406
BS0-7030	4368508	REG0-5812	PM00220	PHOSPHO-NARL
BS0-7538	1031963	REG0-14855 // REG0-9377	PM0-46472 // PM00598	CPLX0-7705
BS0-8465	2804736.5	REG0-12196	PM00423	PC00027
BS0-10746	4542930	REG0-16285	PM241	CPLX0-7705
BS00105	366425	REG0-4722	PM00045	PD00763
BS-7070	1966269.5	REG0-6556	PM-8790	CPLX0-3930
BS805	2850653	REG0-5775	PM00209	CPLX0-6
BS476	461248.5d0	REG0-4972	PM589	CPLX0-226
BS0-5483	3373622.5	REG0-6421	PM0-1781	CPLX0-8593
BS0-8746	1582787.5	REG0-12878	PM0-44963	EG12243-MONOMER
BS0-7811	313326.5	REG0-10574	PM0-10451	CPLX0-226
BS0-7988		REG0-15203 // REG0-10920	PM0-46571 // PM461	EG11966-MONOMER
BS0-7711	1624283.5	REG0-10391	PM0-10367	CPLX0-7797
BS0-8431	708165.5	REG0-12039	PM0-10382	CPLX0-226
BS0-7813	4097637	REG0-14945 // REG0-10576	PM0-46502 // PM00087	CPLX-124
BS0-7515	1638799	REG0-9353	PM0-7321	CPLX0-7705
BS00762		REG0-5675	PM00636	PD00288
BS0-7385	2344779.5	REG0-9039	PM00063	CPLX0-8061
BS0-8047	2013075.5	REG0-11052 // REG0-11051 // REG0-11048	PM0-8720 // PM-8794 // PM-8797	PD01379
BS0-8621	3931329.5	REG0-12653	PM0-10156	CPLX0-7797
BS0-7398	4350622.5	REG0-9051	PM0-9653	CPLX0-226
BS00219	2982302.5d0	REG0-5558	PM00104	CPLX0-226
BS-7090	451690.5d0	REG0-5849	PM00142	CPLX0-226
BS0-7522	3667725	REG0-15207 // REG0-9360	PM0-46571 // PM461	CPLX0-7705
BS0-8182	652135	REG0-11380	PM0-10381	CPLX0-7721
BS0-7860	4158439	REG0-15190 // REG0-10696 // REG0-10694	PM0-46569 // PM0-10525 // PM00067	PD00214
BS0-7803	3600922	REG0-10560 // REG0-10559	PM00571 // PM00114	CPLX0-7740
BS270	3730869.5d0	REG0-5041	PM68	MONOMER0-165
BS0-7599	1298570	REG0-14879 // REG0-9545	PM0-46478 // PM00279	PD00353
BS0-8747	1655614.5	REG0-12879	PM0-10047	EG12243-MONOMER
BS0-7475	624861	REG0-9273	PM00228	CPLX0-7639
BS00692	4466199	REG0-5981	PM00299	CPLX0-226
BS0-8163	2868265	REG0-11323	PM00590	G7571-MONOMER
BS0-7904	4605773	REG0-10787	PM0-8081	CPLX0-7639
BS0-2263	3039784	REG0-6332	PM0-3382	PD00406
BS744	3613587.5	REG0-4825	PM881	CPLX0-7797
BS0-961	180773.5	REG0-4883	PM00327	CPLX0-7748
BS0-1149	3927016	REG0-14442 // REG0-5966	EG10091 // PM00154	G7072-MONOMER
BS0-7027		REG0-5742	PM00233	CPLX0-7797
BS0-7459	175086	REG0-9240	PM0-8186	EG11088-MONOMER
BS0-5702	3088193.5	REG0-6119	PM0-7421	PD03028
BS0-6925	1277778	REG0-4530	PM00061	PHOSPHO-NARL
BS583	3742673	REG0-10778 // REG0-4907	PM449 // PM692	EG12278-MONOMER
BS84	3933259.5	REG0-5370	PM00290	CPLX0-226
BS0-8145	2587513.5	REG0-11261	PM0-10482	PHOSPHO-BAER
BS0-1181	711582.5	REG0-6440	PM0-1442	PD00406
BS0-2003	3410271	REG0-4632	PM00028	CPLX0-7705
BS118	121983.5	REG0-14986 // REG0-14984 // REG0-8987 // REG0-5144	PM0-46520 // PM00324	CPLX0-7797
BS0-7798	432159.5	REG0-10537	PM00337	CPLX0-7740
BS751	4201819	REG0-4832 // REG0-4830	PM924 // PM923	PHOSPHO-HYDG
BS0-8380		REG0-11894	PM0-5141	PHOSPHO-ARCA
BS0-8903	3066873	REG0-13257	TU0-13798	G7072-MONOMER
BS0-8559	1313948.5	REG0-12546	PM0-9249	CPLX0-226
BS0-8280	4335643.5	REG0-11576	TU0-14345	PHOSPHO-BASR
BS0-7004	485667	REG0-4944	PM624	PHOSPHO-PHOP
BS0-8118	2911375	REG0-11223 // REG0-11219	PM622 // PM623	CPLX0-1242
BS0-5448	3281836.5	REG0-6150	PM0-6883	G7630-MONOMER
BS263	1934709.5	REG0-6048	PM00313	PC00061
BS0-8236		REG0-15043 // REG0-11492	PM0-46530 // PM450	EG11356-MONOMER
BS0-10766		REG0-16321	PM0-3564	MONOMER0-46
BS0-8308	1215728.5	REG0-11630	PM0-46215	CPLX0-8597
BS0-10801		REG0-16364	TU00233	CPLX0-10428
BS328	739445.5d0	REG0-5065	PM446	PC00010
BS0-2402	1330886	REG0-5086	PM00547	CPLX0-7705
BS0-8988	4368507	REG0-13439	PM00220	CPLX0-7721
BS00494	2137688	REG0-6053	PM00291	PC00084
BS0-5283	4390488	REG0-6312	PM0-3624	CPLX0-7748
BS00748	4617207.5	REG0-4817	PM00025	CPLX0-7740
